Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
454,19419,1994,1158,1158,Noble Energy-Cannonsburg-ASA5510 Smartnet Renewal,20,1/10/2014,2/28/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
466,19419,1819,1158,1158,Noble Energy Greely Expansion,20,1/13/2014,3/18/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
471,19420,1836,1159,1159,Loomis Houston 2x WAP PO,99,1/14/2014,1/14/2014,11,Signed,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
472,19419,1819,1158,1158,Noble Energy CCX Lic,20,1/14/2014,2/28/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
477,58429,39064,40173,40173,Quote #000911 Meriplex Communications - Profession,20,1/14/2014,1/31/2014,3,Closing,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
479,19419,1819,1158,1158,Noble Energy Houston WAP Bracket,20,1/15/2014,2/28/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
501,19420,1836,1159,1159,Loomis Armored Houston PoE Switch,20,1/17/2014,5/31/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
503,19420,1836,1159,1159,Loomis-Houston-2911 Router,20,1/20/2014,2/28/2014,3,Closing,Elmer Mosbey,173,,0,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
506,58429,39064,40173,40173,"Quote #000937 Kelly Moore Paints-San Carlos, CA-10",99,1/20/2014,1/22/2014,11,Signed,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
513,58429,39064,40173,40173,Kelly Moore Paint AP,99,1/23/2014,1/31/2014,11,Signed,Scott Turner,205,Richard Remels,230,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
515,19419,1819,1158,1158,Noble Energy Copper SFP,99,1/27/2014,1/30/2014,11,Signed,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
523,19419,1819,1158,1158,Noble Energy Cameroom Wireless,20,1/28/2014,3/31/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
529,19420,1836,1159,1159,Loomis Houston EHWIC 4G LTE,0,1/29/2014,2/6/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
